name	frames	fps	duration_s	size
env_000_L0_track_open_entry_maze.mp4	479	50.000	9.58	2433304
env_001_L1_track_open_entry_maze.mp4	1331	50.000	26.62	5037971
env_002_L2_track_open_entry_maze.mp4	423	50.000	8.46	1730000
env_003_L3_track_open_entry_maze.mp4	2678	50.000	53.56	10925212
env_004_L0_track_open_entry_maze.mp4	3999	50.000	79.98	13717440
env_005_L1_track_open_entry_maze.mp4	342	50.000	6.84	1746163
env_006_L2_track_open_entry_maze.mp4	1512	50.000	30.24	5820069
env_007_L3_track_open_entry_maze.mp4	513	50.000	10.26	2518076
env_008_L0_track_open_entry_maze.mp4	3999	50.000	79.98	12468259
env_009_L1_track_open_entry_maze.mp4	3999	50.000	79.98	8715828
env_010_L2_track_open_entry_maze.mp4	3999	50.000	79.98	8674812
env_011_L3_track_open_entry_maze.mp4	3999	50.000	79.98	15018587
env_012_L0_track_open_entry_maze.mp4	3999	50.000	79.98	12202920
env_013_L1_track_open_entry_maze.mp4	1427	50.000	28.54	5260022
env_014_L2_track_open_entry_maze.mp4	460	50.000	9.20	2292603
env_015_L3_track_open_entry_maze.mp4	440	50.000	8.80	2549071
